no,rencana_aksi_desc,satuan,indikator_output,periode_tw,target_penyelesaian
16,3. Menyempurnakan penyusunan dokumen kesenjangan kualifikasi dan kesenjangan kompetensi untuk seluruh pegawai yang diperbarui secara berkala di dalam aplikasi Manajemen Talenta,Persen,Tingkat Kesenjangan Kualifikasi dan Kompetensi,tw1,0
16,"4. Mengoptimalisasi program dan/atau strategi pengembangan kompetensi pegawai dalam bentuk klasikal dan non klasikal, yang berbasis pada kesenjangan kompetensi kualifikasi dan kinerja pegawai, dengan berpedoman pada Peraturan  Lembaga Administrasi Negara Nomor 10 Tahun 2018 tentang Pengembangan Kompetensi Pegawai Negeri Sipil.",Persen,Tingkat pengembangan kompetensi pegawai,tw1,0
16,5. Melaksanakan strategi untuk mengatasi permasalahan kinerja untuk seluruh pegawai secara berkala. ,Persen,Tingkat Penyelesaian Permasalahan Kinerja ,tw1,0
16,6. Melaksanakan  pemberian penghargaan kepada pegawai berprestasi sesuai dengan peraturan yang berlaku secara konsisten; ,Persen,Tingkat pelaksanaan pemberian penghargaan pegawai,tw1,0
16,"1. Melakukan assessment terhadap seluruh pegawai sesuai dengan standar kompetensi jabatan, dan penyusunan profil pegawai berdasarkan kompetensi/talenta dan diperbarui secara berkala",Persen,Persentase pegawai yang telah mengikuti asesmen kompetensi,tw2,0
16,2. Menyempurnakan serta melengkapi  penyusunan talent pool untuk seluruh  pegawai di dalam aplikasi Manajemen Talenta  berpedoman pada Peraturan Menteri  Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 3 Tahun 2020 tentang Manajemen Talenta Aparatur Sipil Negara,Persen,persentase penyusunan talent pool untuk seluruh pegawai,tw2,0
16,3. Menyempurnakan penyusunan dokumen kesenjangan kualifikasi dan kesenjangan kompetensi untuk seluruh pegawai yang diperbarui secara berkala di dalam aplikasi Manajemen Talenta,Persen,Tingkat Kesenjangan Kualifikasi dan Kompetensi,tw2,0
16,"4. Mengoptimalisasi program dan/atau strategi pengembangan kompetensi pegawai dalam bentuk klasikal dan non klasikal, yang berbasis pada kesenjangan kompetensi kualifikasi dan kinerja pegawai, dengan berpedoman pada Peraturan  Lembaga Administrasi Negara Nomor 10 Tahun 2018 tentang Pengembangan Kompetensi Pegawai Negeri Sipil.",Persen,Tingkat pengembangan kompetensi pegawai,tw2,50
16,5. Melaksanakan strategi untuk mengatasi permasalahan kinerja untuk seluruh pegawai secara berkala. ,Persen,Tingkat Penyelesaian Permasalahan Kinerja ,tw2,0
16,6. Melaksanakan  pemberian penghargaan kepada pegawai berprestasi sesuai dengan peraturan yang berlaku secara konsisten; ,Persen,Tingkat pelaksanaan pemberian penghargaan pegawai,tw2,0
16,"1. Melakukan assessment terhadap seluruh pegawai sesuai dengan standar kompetensi jabatan, dan penyusunan profil pegawai berdasarkan kompetensi/talenta dan diperbarui secara berkala",Persen,Persentase pegawai yang telah mengikuti asesmen kompetensi,tw3,50
16,2. Menyempurnakan serta melengkapi  penyusunan talent pool untuk seluruh  pegawai di dalam aplikasi Manajemen Talenta  berpedoman pada Peraturan Menteri  Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 3 Tahun 2020 tentang Manajemen Talenta Aparatur Sipil Negara,Persen,persentase penyusunan talent pool untuk seluruh pegawai,tw3,50
16,3. Menyempurnakan penyusunan dokumen kesenjangan kualifikasi dan kesenjangan kompetensi untuk seluruh pegawai yang diperbarui secara berkala di dalam aplikasi Manajemen Talenta,Persen,Tingkat Kesenjangan Kualifikasi dan Kompetensi,tw3,0
16,"4. Mengoptimalisasi program dan/atau strategi pengembangan kompetensi pegawai dalam bentuk klasikal dan non klasikal, yang berbasis pada kesenjangan kompetensi kualifikasi dan kinerja pegawai, dengan berpedoman pada Peraturan  Lembaga Administrasi Negara Nomor 10 Tahun 2018 tentang Pengembangan Kompetensi Pegawai Negeri Sipil.",Persen,Tingkat pengembangan kompetensi pegawai,tw3,75
16,5. Melaksanakan strategi untuk mengatasi permasalahan kinerja untuk seluruh pegawai secara berkala. ,Persen,Tingkat Penyelesaian Permasalahan Kinerja ,tw3,50
16,6. Melaksanakan  pemberian penghargaan kepada pegawai berprestasi sesuai dengan peraturan yang berlaku secara konsisten; ,Persen,Tingkat pelaksanaan pemberian penghargaan pegawai,tw3,50
16,"1. Melakukan assessment terhadap seluruh pegawai sesuai dengan standar kompetensi jabatan, dan penyusunan profil pegawai berdasarkan kompetensi/talenta dan diperbarui secara berkala",Persen,Persentase pegawai yang telah mengikuti asesmen kompetensi,tw4,100
16,2. Menyempurnakan serta melengkapi  penyusunan talent pool untuk seluruh  pegawai di dalam aplikasi Manajemen Talenta  berpedoman pada Peraturan Menteri  Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 3 Tahun 2020 tentang Manajemen Talenta Aparatur Sipil Negara,Persen,persentase penyusunan talent pool untuk seluruh pegawai,tw4,100
16,3. Menyempurnakan penyusunan dokumen kesenjangan kualifikasi dan kesenjangan kompetensi untuk seluruh pegawai yang diperbarui secara berkala di dalam aplikasi Manajemen Talenta,Persen,Tingkat Kesenjangan Kualifikasi dan Kompetensi,tw4,100
16,"4. Mengoptimalisasi program dan/atau strategi pengembangan kompetensi pegawai dalam bentuk klasikal dan non klasikal, yang berbasis pada kesenjangan kompetensi kualifikasi dan kinerja pegawai, dengan berpedoman pada Peraturan  Lembaga Administrasi Negara Nomor 10 Tahun 2018 tentang Pengembangan Kompetensi Pegawai Negeri Sipil.",Persen,Tingkat pengembangan kompetensi pegawai,tw4,100
16,5. Melaksanakan strategi untuk mengatasi permasalahan kinerja untuk seluruh pegawai secara berkala. ,Persen,Tingkat Penyelesaian Permasalahan Kinerja ,tw4,100
16,6. Melaksanakan  pemberian penghargaan kepada pegawai berprestasi sesuai dengan peraturan yang berlaku secara konsisten; ,Persen,Tingkat pelaksanaan pemberian penghargaan pegawai,tw4,100
17,1. Melakukan evaluasi kinerja pelayanan publik secara mandiri sesuai Standar KemenPANRB,-,Indeks Pelayanan Publik (IPP),tw1,1.18
17,2. Mengimplementasikan sistem manajemen mutu ISO 9001:2015 pada Pelayanan Statistik Terpadu BPS,Persen,Persentase penyelesaian aktivitas perbaikan sistem manajemen mutu ISO 9001:2015,tw1,40
17,1. Melakukan evaluasi kinerja pelayanan publik secara mandiri sesuai Standar KemenPANRB,-,Indeks Pelayanan Publik (IPP),tw2,4.58
17,2. Mengimplementasikan sistem manajemen mutu ISO 9001:2015 pada Pelayanan Statistik Terpadu BPS,Persen,Persentase penyelesaian aktivitas perbaikan sistem manajemen mutu ISO 9001:2015,tw2,70
17,1. Melakukan evaluasi kinerja pelayanan publik secara mandiri sesuai Standar KemenPANRB,-,Indeks Pelayanan Publik (IPP),tw3,4.67
17,2. Mengimplementasikan sistem manajemen mutu ISO 9001:2015 pada Pelayanan Statistik Terpadu BPS,Persen,Persentase penyelesaian aktivitas perbaikan sistem manajemen mutu ISO 9001:2015,tw3,100
17,1. Melakukan evaluasi kinerja pelayanan publik secara mandiri sesuai Standar KemenPANRB,-,Indeks Pelayanan Publik (IPP),tw4,4.85
17,2. Mengimplementasikan sistem manajemen mutu ISO 9001:2015 pada Pelayanan Statistik Terpadu BPS,Persen,Persentase penyelesaian aktivitas perbaikan sistem manajemen mutu ISO 9001:2015,tw4,100
18,1. Melakukan evaluasi kinerja pelayanan publik secara mandiri sesuai Standar Ombudsman Rl,Persen,Persentase penyelesaian aktivitas perbaikan pelayanan publik sesuai Standar Ombudsman Rl,tw1,20
18,1. Melakukan evaluasi kinerja pelayanan publik secara mandiri sesuai Standar Ombudsman Rl,Persen,Persentase penyelesaian aktivitas perbaikan pelayanan publik sesuai Standar Ombudsman Rl,tw2,50
18,1. Melakukan evaluasi kinerja pelayanan publik secara mandiri sesuai Standar Ombudsman Rl,Persen,Persentase penyelesaian aktivitas perbaikan pelayanan publik sesuai Standar Ombudsman Rl,tw3,90
18,1. Melakukan evaluasi kinerja pelayanan publik secara mandiri sesuai Standar Ombudsman Rl,Persen,Persentase penyelesaian aktivitas perbaikan pelayanan publik sesuai Standar Ombudsman Rl,tw4,100
19,1. Pengukuran kepuasan masyarakat terhadap pelayanan publik,-,Indeks Kepuasan Masyarakat,tw1,95.84 
19,1. Pengukuran kepuasan masyarakat terhadap pelayanan publik,-,Indeks Kepuasan Masyarakat,tw2,95.84 
19,1. Pengukuran kepuasan masyarakat terhadap pelayanan publik,-,Indeks Kepuasan Masyarakat,tw3,95.85
19,1. Pengukuran kepuasan masyarakat terhadap pelayanan publik,-,Indeks Kepuasan Masyarakat,tw4,95.85
20,1. Pelaksanaan pemantauan/reviu penerapan SDI di BPS,Persen,Persentase pemantauan/reviu pelaksanaan prinsip SDI di BPS,tw1,0
20,2. Pelaksanaan pemantauan/reviu penerapan Kualitas Data di BPS,Dokumen,Dokumen Pemantauan Quality Gate,tw1,
20,3. Pelaksanaan pemantauan/reviu ketersediaan dokumen kegiatan statistik  ,Dokumen,Jumlah set dokumen kegiatan statistik,tw1,
20,4. Pemantauan/reviu Pelaksanaan kolaborasi antar unit kerja dan kerja sama,Dokumen,Dokumen Pemantauan/reviu Kolaborasi,tw1,0
20,5. Pelaksanaan pemanfaatan big data untuk mendukung indikator statistik,Persen,Persentase pemantauan/reviu pelaksanaapemanfaatan big Data,tw1,
20,1. Pelaksanaan pemantauan/reviu penerapan SDI di BPS,Persen,Persentase pemantauan/reviu pelaksanaan prinsip SDI di BPS,tw2,25
20,2. Pelaksanaan pemantauan/reviu penerapan Kualitas Data di BPS,Dokumen,Dokumen Pemantauan Quality Gate,tw2,
20,3. Pelaksanaan pemantauan/reviu ketersediaan dokumen kegiatan statistik  ,Dokumen,Jumlah set dokumen kegiatan statistik,tw2,10
20,4. Pemantauan/reviu Pelaksanaan kolaborasi antar unit kerja dan kerja sama,Dokumen,Dokumen Pemantauan/reviu Kolaborasi,tw2,1
20,5. Pelaksanaan pemanfaatan big data untuk mendukung indikator statistik,Persen,Persentase pemantauan/reviu pelaksanaapemanfaatan big Data,tw2,25
20,1. Pelaksanaan pemantauan/reviu penerapan SDI di BPS,Persen,Persentase pemantauan/reviu pelaksanaan prinsip SDI di BPS,tw3,50
20,2. Pelaksanaan pemantauan/reviu penerapan Kualitas Data di BPS,Dokumen,Dokumen Pemantauan Quality Gate,tw3,
20,3. Pelaksanaan pemantauan/reviu ketersediaan dokumen kegiatan statistik  ,Dokumen,Jumlah set dokumen kegiatan statistik,tw3,10
20,4. Pemantauan/reviu Pelaksanaan kolaborasi antar unit kerja dan kerja sama,Dokumen,Dokumen Pemantauan/reviu Kolaborasi,tw3,1
20,5. Pelaksanaan pemanfaatan big data untuk mendukung indikator statistik,Persen,Persentase pemantauan/reviu pelaksanaapemanfaatan big Data,tw3,50
20,1. Pelaksanaan pemantauan/reviu penerapan SDI di BPS,Persen,Persentase pemantauan/reviu pelaksanaan prinsip SDI di BPS,tw4,100
20,2. Pelaksanaan pemantauan/reviu penerapan Kualitas Data di BPS,Dokumen,Dokumen Pemantauan Quality Gate,tw4,1
20,3. Pelaksanaan pemantauan/reviu ketersediaan dokumen kegiatan statistik  ,Dokumen,Jumlah set dokumen kegiatan statistik,tw4,10
20,4. Pemantauan/reviu Pelaksanaan kolaborasi antar unit kerja dan kerja sama,Dokumen,Dokumen Pemantauan/reviu Kolaborasi,tw4,1
20,5. Pelaksanaan pemanfaatan big data untuk mendukung indikator statistik,Persen,Persentase pemantauan/reviu pelaksanaapemanfaatan big Data,tw4,100
21,a. Menganalisis Renstra BPS 2025-2029,Laporan,Laporan hasil analisis Renstra BPS 2025-2029,tw1,0
21,b. Menyusun Perka Transformasi Pemerintah Digital BPS,Dokumen,Perka Transformasi Pemerintah Digital BPS,tw1,0
21,c. Menyusun Peta Rencana Pemerintah Digital BPS 2025-2029,Dokumen,Peta Rencana Pemerintah Digital BPS 2025-2029,tw1,0
21,a. Evaluasi Layanan Aplikasi Presensi Online BPS,Laporan,Laporan hasil evaluasi Layanan Aplikasi Presensi Online BPS,tw1,0
21,b. Tindak lanjut/ pengembangan Layanan Aplikasi Presensi Online BPS berdasarkan hasil evaluasi,Persen,Pengembangan Layanan Aplikasi Presensi Online BPS,tw1,0
21,a. Audit Aplikasi SPBE oleh Auditor Eksternal,Laporan,Laporan Audit Aplikasi SPBE Eksternal,tw1,0
21,b. Audit Infrastruktur SPBE oleh Auditor Eksternal,Laporan,Laporan Audit Infrastruktur SPBE Eksternal,tw1,0
21,a. Menganalisis Renstra BPS 2025-2029,Laporan,Laporan hasil analisis Renstra BPS 2025-2029,tw2,0
21,b. Menyusun Perka Transformasi Pemerintah Digital BPS,Dokumen,Perka Transformasi Pemerintah Digital BPS,tw2,0
21,c. Menyusun Peta Rencana Pemerintah Digital BPS 2025-2029,Dokumen,Peta Rencana Pemerintah Digital BPS 2025-2029,tw2,0
21,a. Evaluasi Layanan Aplikasi Presensi Online BPS,Laporan,Laporan hasil evaluasi Layanan Aplikasi Presensi Online BPS,tw2,0
21,b. Tindak lanjut/ pengembangan Layanan Aplikasi Presensi Online BPS berdasarkan hasil evaluasi,Persen,Pengembangan Layanan Aplikasi Presensi Online BPS,tw2,25
21,a. Audit Aplikasi SPBE oleh Auditor Eksternal,Laporan,Laporan Audit Aplikasi SPBE Eksternal,tw2,0
21,b. Audit Infrastruktur SPBE oleh Auditor Eksternal,Laporan,Laporan Audit Infrastruktur SPBE Eksternal,tw2,0
21,a. Menganalisis Renstra BPS 2025-2029,Laporan,Laporan hasil analisis Renstra BPS 2025-2029,tw3,1
21,b. Menyusun Perka Transformasi Pemerintah Digital BPS,Dokumen,Perka Transformasi Pemerintah Digital BPS,tw3,0
21,c. Menyusun Peta Rencana Pemerintah Digital BPS 2025-2029,Dokumen,Peta Rencana Pemerintah Digital BPS 2025-2029,tw3,0
21,a. Evaluasi Layanan Aplikasi Presensi Online BPS,Laporan,Laporan hasil evaluasi Layanan Aplikasi Presensi Online BPS,tw3,0
21,b. Tindak lanjut/ pengembangan Layanan Aplikasi Presensi Online BPS berdasarkan hasil evaluasi,Persen,Pengembangan Layanan Aplikasi Presensi Online BPS,tw3,50
21,a. Audit Aplikasi SPBE oleh Auditor Eksternal,Laporan,Laporan Audit Aplikasi SPBE Eksternal,tw3,0
21,b. Audit Infrastruktur SPBE oleh Auditor Eksternal,Laporan,Laporan Audit Infrastruktur SPBE Eksternal,tw3,0
21,a. Menganalisis Renstra BPS 2025-2029,Laporan,Laporan hasil analisis Renstra BPS 2025-2029,tw4,1
21,b. Menyusun Perka Transformasi Pemerintah Digital BPS,Dokumen,Perka Transformasi Pemerintah Digital BPS,tw4,1
21,c. Menyusun Peta Rencana Pemerintah Digital BPS 2025-2029,Dokumen,Peta Rencana Pemerintah Digital BPS 2025-2029,tw4,1
21,a. Evaluasi Layanan Aplikasi Presensi Online BPS,Laporan,Laporan hasil evaluasi Layanan Aplikasi Presensi Online BPS,tw4,1
21,b. Tindak lanjut/ pengembangan Layanan Aplikasi Presensi Online BPS berdasarkan hasil evaluasi,Persen,Pengembangan Layanan Aplikasi Presensi Online BPS,tw4,100
21,a. Audit Aplikasi SPBE oleh Auditor Eksternal,Laporan,Laporan Audit Aplikasi SPBE Eksternal,tw4,1
21,b. Audit Infrastruktur SPBE oleh Auditor Eksternal,Laporan,Laporan Audit Infrastruktur SPBE Eksternal,tw4,1
22,a. Menyusun Kebijakan Arsitektur Pemerintah Digital BPS  2025-2029 (Perka BPS),Dokumen,Tersedianya Kebijakan Arsitektur Pemerintah Digital BPS 2025-2029,tw1,0
22,b. Menyusun Peta Rencana Pemerintah Digital BPS 2025-2029,Dokumen,Peta Rencana Pemerintah Digital BPS 2025-2029,tw1,0
22,c. Menggambarkan Peta Rencana Pemerintah Digital BPS  2025-2029 pada SIA SPBE,Persen,Tersedianya artifak Peta Rencana Pemerintah Digital BPS 2025-2029 pada SIA SPBE,tw1,0
22,a. Menyusun Kebijakan Arsitektur Pemerintah Digital BPS  2025-2029 (Perka BPS),Dokumen,Tersedianya Kebijakan Arsitektur Pemerintah Digital BPS 2025-2029,tw2,0
22,b. Menyusun Peta Rencana Pemerintah Digital BPS 2025-2029,Dokumen,Peta Rencana Pemerintah Digital BPS 2025-2029,tw2,0
22,c. Menggambarkan Peta Rencana Pemerintah Digital BPS  2025-2029 pada SIA SPBE,Persen,Tersedianya artifak Peta Rencana Pemerintah Digital BPS 2025-2029 pada SIA SPBE,tw2,0
22,a. Menyusun Kebijakan Arsitektur Pemerintah Digital BPS  2025-2029 (Perka BPS),Dokumen,Tersedianya Kebijakan Arsitektur Pemerintah Digital BPS 2025-2029,tw3,0
22,b. Menyusun Peta Rencana Pemerintah Digital BPS 2025-2029,Dokumen,Peta Rencana Pemerintah Digital BPS 2025-2029,tw3,0
22,c. Menggambarkan Peta Rencana Pemerintah Digital BPS  2025-2029 pada SIA SPBE,Persen,Tersedianya artifak Peta Rencana Pemerintah Digital BPS 2025-2029 pada SIA SPBE,tw3,50
22,a. Menyusun Kebijakan Arsitektur Pemerintah Digital BPS  2025-2029 (Perka BPS),Dokumen,Tersedianya Kebijakan Arsitektur Pemerintah Digital BPS 2025-2029,tw4,1
22,b. Menyusun Peta Rencana Pemerintah Digital BPS 2025-2029,Dokumen,Peta Rencana Pemerintah Digital BPS 2025-2029,tw4,1
22,c. Menggambarkan Peta Rencana Pemerintah Digital BPS  2025-2029 pada SIA SPBE,Persen,Tersedianya artifak Peta Rencana Pemerintah Digital BPS 2025-2029 pada SIA SPBE,tw4,100
23,1. Inventarisasi rekomendasi BPK yang belum ditindaklanjuti,Persen,Persentase daftar TLHP BPK yang belum di tindak lanjuti,tw1,0
23,2. Koordinasi dengan satker/unit kerja pemilik rekomendasi,Persen,Persentase notulen/bukti komunikasi,tw1,0
23,3. Klarifikasi dan verifikasi dokumen pendukung tindak lanjut,Persen,Persentase Berita Acara pemeriksaan dokumen,tw1,0
23,4. Evaluasi status tindak lanjut dan identifikasi hambatan,Persen,Persentase rekomendasi yang selesai (status sesuai),tw1,0
23,5. Penyampaian hasil pemantauan kepada pimpinan dan BPK,Persen,Persentase surat resmi yang telah di tandatangani /laporan,tw1,0
23,6. Updating Dashboard Pemantauan TL Rekomendasi BPK,Persen,"Persentase jumlah rekomendasi yang berstatus 1, 2, 3 atau 4",tw1,0
23,1. Inventarisasi rekomendasi BPK yang belum ditindaklanjuti,Persen,Persentase daftar TLHP BPK yang belum di tindak lanjuti,tw2,0
23,2. Koordinasi dengan satker/unit kerja pemilik rekomendasi,Persen,Persentase notulen/bukti komunikasi,tw2,0
23,3. Klarifikasi dan verifikasi dokumen pendukung tindak lanjut,Persen,Persentase Berita Acara pemeriksaan dokumen,tw2,0
23,4. Evaluasi status tindak lanjut dan identifikasi hambatan,Persen,Persentase rekomendasi yang selesai (status sesuai),tw2,0
23,5. Penyampaian hasil pemantauan kepada pimpinan dan BPK,Persen,Persentase surat resmi yang telah di tandatangani /laporan,tw2,0
23,6. Updating Dashboard Pemantauan TL Rekomendasi BPK,Persen,"Persentase jumlah rekomendasi yang berstatus 1, 2, 3 atau 4",tw2,0
23,1. Inventarisasi rekomendasi BPK yang belum ditindaklanjuti,Persen,Persentase daftar TLHP BPK yang belum di tindak lanjuti,tw3,100
23,2. Koordinasi dengan satker/unit kerja pemilik rekomendasi,Persen,Persentase notulen/bukti komunikasi,tw3,100
23,3. Klarifikasi dan verifikasi dokumen pendukung tindak lanjut,Persen,Persentase Berita Acara pemeriksaan dokumen,tw3,100
23,4. Evaluasi status tindak lanjut dan identifikasi hambatan,Persen,Persentase rekomendasi yang selesai (status sesuai),tw3,100
23,5. Penyampaian hasil pemantauan kepada pimpinan dan BPK,Persen,Persentase surat resmi yang telah di tandatangani /laporan,tw3,100
23,6. Updating Dashboard Pemantauan TL Rekomendasi BPK,Persen,"Persentase jumlah rekomendasi yang berstatus 1, 2, 3 atau 4",tw3,100
23,1. Inventarisasi rekomendasi BPK yang belum ditindaklanjuti,Persen,Persentase daftar TLHP BPK yang belum di tindak lanjuti,tw4,100
23,2. Koordinasi dengan satker/unit kerja pemilik rekomendasi,Persen,Persentase notulen/bukti komunikasi,tw4,100
23,3. Klarifikasi dan verifikasi dokumen pendukung tindak lanjut,Persen,Persentase Berita Acara pemeriksaan dokumen,tw4,100
23,4. Evaluasi status tindak lanjut dan identifikasi hambatan,Persen,Persentase rekomendasi yang selesai (status sesuai),tw4,100
23,5. Penyampaian hasil pemantauan kepada pimpinan dan BPK,Persen,Persentase surat resmi yang telah di tandatangani /laporan,tw4,100
23,6. Updating Dashboard Pemantauan TL Rekomendasi BPK,Persen,"Persentase jumlah rekomendasi yang berstatus 1, 2, 3 atau 4",tw4,100
24,1. Terlaksananya reviu SOP Evaluasi Pembangunan ZI,Dokumen,SOP Pengelolaan Pengaduan,tw1,1
24,2. Terlaksananya reviu Pedoman Evaluasi Pembangunan ZI,Dokumen,Pedoman Evaluasi ZI,tw1,1
24,Terlaksananya Pembangunan Dashboard Evaluasi Pembangunan ZI,Dokumen,Dashboard Evaluasi ZI,tw1,1
24,3. Pengembangan Aplikasi Evaluasi ZI,Dokumen,Aplikasi ZIAPP,tw1,1
24,4. Tersusunnya Kepka BPS tentang Tim Penilai Internal (TPI) Evaluasi Pembangunan ZI BPS Tahun 2025,Dokumen,Kepka TPI,tw1,1
24,Terlaksananya Sosialisasi Aplikasi ZIAPP,Dikumen,Laporan Sosialiasi,tw1,1
24,5. Terlaksananya Penyelenggaraan Bimbingan Teknis Evaluasi Pembangunan ZI,Dokumen ,Laporan Bimtek,tw1,1
24,6. Terlaksananya  Evaluasi (Desk dan Field) Pembangunan ZI oleh TPI,Dokumen ,Laporan Hasil Evaluasi (LHE) TPI ,tw1,-
24,7. Pleno Hasil Desk Evaluasi Pembangunan ZI,Dokumen ,Berita Acara Pleno,tw1,-
24,8. Submit usulan calon satker berpredikat menuju WBK/WBBM ke Kementerian PAN,Dokumen,Surat Kepala BPS,tw1,-
24,dan RB Hasil Penilaian TPI melalui Portal ZI,,,tw1,
24,9. Tersusunnya Kepka BPS tentang Satuan Kerja Berpredikat Menuju WBK/WBBM berdasarkan hasil Evaluasi TPI,Dokumen,Keutusan Kepala tentang Satuan Kerja Berpredikat Menuju WBK/WBBM berdasarkan hasil Evaluasi TPI,tw1,-
24,10. Pendampingan evaluasi ZI oleh Kemenpan RB,Dokumen,Laporan Pendampingan,tw1,-
24,1. Terlaksananya reviu SOP Evaluasi Pembangunan ZI,Dokumen,SOP Pengelolaan Pengaduan,tw2,1
24,2. Terlaksananya reviu Pedoman Evaluasi Pembangunan ZI,Dokumen,Pedoman Evaluasi ZI,tw2,1
24,Terlaksananya Pembangunan Dashboard Evaluasi Pembangunan ZI,Dokumen,Dashboard Evaluasi ZI,tw2,1
24,3. Pengembangan Aplikasi Evaluasi ZI,Dokumen,Aplikasi ZIAPP,tw2,1
24,4. Tersusunnya Kepka BPS tentang Tim Penilai Internal (TPI) Evaluasi Pembangunan ZI BPS Tahun 2025,Dokumen,Kepka TPI,tw2,1
24,Terlaksananya Sosialisasi Aplikasi ZIAPP,Dikumen,Laporan Sosialiasi,tw2,1
24,5. Terlaksananya Penyelenggaraan Bimbingan Teknis Evaluasi Pembangunan ZI,Dokumen ,Laporan Bimtek,tw2,1
24,6. Terlaksananya  Evaluasi (Desk dan Field) Pembangunan ZI oleh TPI,Dokumen ,Laporan Hasil Evaluasi (LHE) TPI ,tw2,113
24,7. Pleno Hasil Desk Evaluasi Pembangunan ZI,Dokumen ,Berita Acara Pleno,tw2,1
24,8. Submit usulan calon satker berpredikat menuju WBK/WBBM ke Kementerian PAN,Dokumen,Surat Kepala BPS,tw2,1
24,dan RB Hasil Penilaian TPI melalui Portal ZI,,,tw2,
24,9. Tersusunnya Kepka BPS tentang Satuan Kerja Berpredikat Menuju WBK/WBBM berdasarkan hasil Evaluasi TPI,Dokumen,Keutusan Kepala tentang Satuan Kerja Berpredikat Menuju WBK/WBBM berdasarkan hasil Evaluasi TPI,tw2,-
24,10. Pendampingan evaluasi ZI oleh Kemenpan RB,Dokumen,Laporan Pendampingan,tw2,-
24,1. Terlaksananya reviu SOP Evaluasi Pembangunan ZI,Dokumen,SOP Pengelolaan Pengaduan,tw3,1
24,2. Terlaksananya reviu Pedoman Evaluasi Pembangunan ZI,Dokumen,Pedoman Evaluasi ZI,tw3,1
24,Terlaksananya Pembangunan Dashboard Evaluasi Pembangunan ZI,Dokumen,Dashboard Evaluasi ZI,tw3,1
24,3. Pengembangan Aplikasi Evaluasi ZI,Dokumen,Aplikasi ZIAPP,tw3,1
24,4. Tersusunnya Kepka BPS tentang Tim Penilai Internal (TPI) Evaluasi Pembangunan ZI BPS Tahun 2025,Dokumen,Kepka TPI,tw3,1
24,Terlaksananya Sosialisasi Aplikasi ZIAPP,Dikumen,Laporan Sosialiasi,tw3,1
24,5. Terlaksananya Penyelenggaraan Bimbingan Teknis Evaluasi Pembangunan ZI,Dokumen ,Laporan Bimtek,tw3,1
24,6. Terlaksananya  Evaluasi (Desk dan Field) Pembangunan ZI oleh TPI,Dokumen ,Laporan Hasil Evaluasi (LHE) TPI ,tw3,113
24,7. Pleno Hasil Desk Evaluasi Pembangunan ZI,Dokumen ,Berita Acara Pleno,tw3,1
24,8. Submit usulan calon satker berpredikat menuju WBK/WBBM ke Kementerian PAN,Dokumen,Surat Kepala BPS,tw3,1
24,dan RB Hasil Penilaian TPI melalui Portal ZI,,,tw3,
24,9. Tersusunnya Kepka BPS tentang Satuan Kerja Berpredikat Menuju WBK/WBBM berdasarkan hasil Evaluasi TPI,Dokumen,Keutusan Kepala tentang Satuan Kerja Berpredikat Menuju WBK/WBBM berdasarkan hasil Evaluasi TPI,tw3,1
24,10. Pendampingan evaluasi ZI oleh Kemenpan RB,Dokumen,Laporan Pendampingan,tw3,7
24,1. Terlaksananya reviu SOP Evaluasi Pembangunan ZI,Dokumen,SOP Pengelolaan Pengaduan,tw4,1
24,2. Terlaksananya reviu Pedoman Evaluasi Pembangunan ZI,Dokumen,Pedoman Evaluasi ZI,tw4,1
24,Terlaksananya Pembangunan Dashboard Evaluasi Pembangunan ZI,Dokumen,Dashboard Evaluasi ZI,tw4,1
24,3. Pengembangan Aplikasi Evaluasi ZI,Dokumen,Aplikasi ZIAPP,tw4,1
24,4. Tersusunnya Kepka BPS tentang Tim Penilai Internal (TPI) Evaluasi Pembangunan ZI BPS Tahun 2025,Dokumen,Kepka TPI,tw4,1
24,Terlaksananya Sosialisasi Aplikasi ZIAPP,Dikumen,Laporan Sosialiasi,tw4,1
24,5. Terlaksananya Penyelenggaraan Bimbingan Teknis Evaluasi Pembangunan ZI,Dokumen ,Laporan Bimtek,tw4,1
24,6. Terlaksananya  Evaluasi (Desk dan Field) Pembangunan ZI oleh TPI,Dokumen ,Laporan Hasil Evaluasi (LHE) TPI ,tw4,113
24,7. Pleno Hasil Desk Evaluasi Pembangunan ZI,Dokumen ,Berita Acara Pleno,tw4,1
24,8. Submit usulan calon satker berpredikat menuju WBK/WBBM ke Kementerian PAN,Dokumen,Surat Kepala BPS,tw4,1
24,dan RB Hasil Penilaian TPI melalui Portal ZI,,,tw4,
24,9. Tersusunnya Kepka BPS tentang Satuan Kerja Berpredikat Menuju WBK/WBBM berdasarkan hasil Evaluasi TPI,Dokumen,Keutusan Kepala tentang Satuan Kerja Berpredikat Menuju WBK/WBBM berdasarkan hasil Evaluasi TPI,tw4,1
24,10. Pendampingan evaluasi ZI oleh Kemenpan RB,Dokumen,Laporan Pendampingan,tw4,7
25,1. SOP Pengelolaan Pengaduan di Lingkungan BPS,Dokumen,SOP Pengelolaan Pengaduan,tw1,
25,2. Pemantauan SP4N-LAPOR! Bulanan,Dokumen,Laporan Monitoring,tw1,3
